key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
t20s0001,,runs,39.0,,,,,Namibia
t20s0002,,runs,44.0,,,,,Australia
t20s0003,,runs,100.0,,,,,England
t20s0004,,wickets,5.0,,,,,New Zealand
t20s0005,,runs,95.0,,,,,Australia
t20s0006,,,,New Zealand,,,tie,
t20s0007,,runs,2.0,,,,,South Africa
t20s0008,,runs,2.0,,,,,Sri Lanka
t20s0009,,wickets,5.0,,,,,Pakistan
t20s0010,,wickets,6.0,,,,,India
t20s0011,,runs,18.0,,,D/L,,Sri Lanka
t20s0012,,wickets,5.0,,,,,New Zealand
t20s0013,,runs,77.0,,,,,Australia
t20s0014,,runs,15.0,,,,,West Indies
t20s0015,,wickets,5.0,,,,,England
t20s0016,,wickets,5.0,,,,,Bangladesh
t20s0017,,runs,30.0,,,,,Pakistan
t20s0018,,wickets,8.0,,,,,Pakistan
t20s0019,,wickets,8.0,,,,,South Africa
t20s0020,,wickets,5.0,,,,,Zimbabwe
t20s0021,,runs,51.0,,,,,Pakistan
t20s0022,,wickets,9.0,,,,,New Zealand
t20s0023,,runs,50.0,,,,,England
t20s0024,,wickets,6.0,,,,,Bangladesh
t20s0025,,,,India,,,tie,
t20s0026,,wickets,8.0,,,,,Australia
t20s0027,,runs,172.0,,,,,Sri Lanka
t20s0028,,wickets,7.0,,,,,South Africa
t20s0029,,wickets,7.0,,,,,Sri Lanka
t20s0030,,runs,19.0,,,,,South Africa
t20s0031,,wickets,9.0,,,,,Australia
t20s0032,,runs,10.0,,,,,New Zealand
t20s0033,,runs,33.0,,,,,Pakistan
t20s0034,,runs,64.0,,,,,Sri Lanka
t20s0035,,wickets,6.0,,,,,Pakistan
t20s0036,,runs,5.0,,,,,New Zealand
t20s0037,,runs,18.0,,,,,India
t20s0038,,wickets,6.0,,,,,South Africa
t20s0039,,runs,37.0,,,,,India
t20s0040,,wickets,4.0,,,,,Pakistan
t20s0041,,wickets,10.0,,,,,Australia
t20s0042,,runs,15.0,,,,,India
t20s0043,,wickets,6.0,,,,,Pakistan
t20s0044,,runs,5.0,,,,,India
t20s0045,,wickets,7.0,,,,,India
t20s0046,,wickets,3.0,,,,,South Africa
t20s0047,,runs,54.0,,,,,Australia
t20s0048,,wickets,5.0,,,,,West Indies
t20s0049,,wickets,4.0,,,,,South Africa
t20s0050,,wickets,9.0,,,,,Australia
t20s0051,,runs,32.0,,,,,England
t20s0052,,runs,50.0,,,,,England
t20s0053,,runs,102.0,,,,,Pakistan
t20s0054,,wickets,9.0,,,,,England
t20s0055,,wickets,7.0,,,,,West Indies
t20s0056,,wickets,8.0,,,,,Scotland
t20s0057,,wickets,5.0,,,,,Netherlands
t20s0058,,wickets,4.0,,,,,Ireland
t20s0059,,wickets,3.0,,,,,Pakistan
t20s0060,,wickets,5.0,,,,,Sri Lanka
t20s0061,,runs,12.0,,,D/L,,South Africa
t20s0062,,,,,West Indies,,tie,
t20s0063,,runs,36.0,,,,,New Zealand
t20s0064,,runs,52.0,,,,,Australia
t20s0065,,wickets,6.0,,,,,Australia
t20s0066,,wickets,3.0,,,,,India
t20s0067,,runs,1.0,,,,,Australia
t20s0068,,wickets,7.0,,,,,New Zealand
t20s0069,,wickets,5.0,,,,,New Zealand
t20s0070,,wickets,6.0,,,,,West Indies
t20s0071,,wickets,4.0,,,,,South Africa
t20s0072,,runs,17.0,,,,,South Africa
t20s0073,,wickets,7.0,,,,,Pakistan
t20s0074,,wickets,4.0,,,,,Netherlands
t20s0075,,runs,25.0,,,,,India
t20s0076,,wickets,7.0,,,,,West Indies
t20s0077,,wickets,7.0,,,,,New Zealand
t20s0078,,runs,48.0,,,,,England
t20s0079,,runs,130.0,,,,,South Africa
t20s0080,,wickets,6.0,,,,,Sri Lanka
t20s0081,,wickets,6.0,,,,,Ireland
t20s0082,,runs,1.0,,,,,South Africa
t20s0083,,runs,82.0,,,,,Pakistan
t20s0084,,runs,15.0,,,,,Sri Lanka
t20s0085,,wickets,8.0,,,,,India
t20s0086,,wickets,7.0,,,,,South Africa
t20s0087,,runs,83.0,,,,,New Zealand
t20s0088,,wickets,7.0,,,,,West Indies
t20s0089,,runs,19.0,,,,,Sri Lanka
t20s0090,,wickets,6.0,,,,,Pakistan
t20s0091,,runs,20.0,,,,,South Africa
t20s0092,,runs,3.0,,,,,England
t20s0093,,runs,9.0,,,,,Sri Lanka
t20s0094,,runs,39.0,,,,,Pakistan
t20s0095,,wickets,5.0,,,D/L,,West Indies
t20s0096,,runs,12.0,,,,,South Africa
t20s0097,,runs,48.0,,,,,Sri Lanka
t20s0098,,runs,7.0,,,,,Pakistan
t20s0099,,runs,52.0,,,,,New Zealand
t20s0100,,runs,57.0,,,,,Sri Lanka
t20s0101,,wickets,8.0,,,,,England
t20s0102,,wickets,8.0,,,,,Pakistan
t20s0103,,runs,34.0,,,,,Australia
t20s0104,,wickets,5.0,,,,,West Indies
t20s0105,,runs,52.0,,,,,Pakistan
t20s0106,,,,,,,no result,
t20s0107,,runs,3.0,,,,,New Zealand
t20s0108,,runs,22.0,,,,,New Zealand
t20s0109,,runs,2.0,,,,,West Indies
t20s0110,,runs,49.0,,,,,Pakistan
t20s0111,,runs,7.0,,,,,Pakistan
t20s0112,,runs,1.0,,,D/L,,England
t20s0113,,runs,84.0,,,,,South Africa
t20s0114,,runs,29.0,,,,,Sri Lanka
t20s0115,,wickets,6.0,,,,,India
t20s0116,,wickets,10.0,,,,,New Zealand
t20s0117,,runs,2.0,,,,,Australia
t20s0118,,wickets,6.0,,,,,Netherlands
t20s0119,,runs,13.0,,,,,Afghanistan
t20s0120,,wickets,9.0,,,,,Kenya
t20s0121,,runs,37.0,,,,,Ireland
t20s0122,,wickets,4.0,,,,,Netherlands
t20s0123,,wickets,8.0,,,,,Afghanistan
t20s0124,,runs,65.0,,,,,Ireland
t20s0125,,wickets,7.0,,,,,England
t20s0126,,wickets,4.0,,,,,Pakistan
t20s0127,,runs,38.0,,,,,Australia
t20s0128,,wickets,8.0,,,,,Australia
t20s0129,,wickets,6.0,,,,,Australia
t20s0130,,runs,26.0,,,,,Zimbabwe
t20s0131,,,,,New Zealand,,tie,
t20s0132,,wickets,2.0,,,,,New Zealand
t20s0133,,runs,70.0,,,,,West Indies
t20s0134,,runs,21.0,,,,,Pakistan
t20s0135,,wickets,7.0,,,,,India
t20s0136,,runs,34.0,,,,,Australia
t20s0137,,runs,14.0,,,,,India
t20s0138,,runs,14.0,,,D/L,,Sri Lanka
t20s0139,,wickets,8.0,,,D/L,,West Indies
t20s0140,,runs,7.0,,,D/L,,New Zealand
t20s0141,,,,,,,no result,
t20s0142,,runs,27.0,,,,,Australia
t20s0143,,runs,59.0,,,,,South Africa
t20s0144,,runs,13.0,,,,,South Africa
t20s0145,,wickets,6.0,,,,,England
t20s0146,,runs,57.0,,,,,Sri Lanka
t20s0147,,runs,49.0,,,,,Australia
t20s0148,,runs,39.0,,,,,England
t20s0149,,runs,1.0,,,,,New Zealand
t20s0150,,runs,81.0,,,,,Australia
t20s0151,,runs,14.0,,,,,West Indies
t20s0152,,wickets,3.0,,,,,England
t20s0153,,runs,11.0,,,,,Pakistan
t20s0154,,wickets,6.0,,,,,Australia
t20s0155,,wickets,5.0,,,,,Sri Lanka
t20s0156,,wickets,7.0,,,,,Australia
t20s0157,,wickets,7.0,,,,,England
t20s0158,,runs,56.0,,,,,New Zealand
t20s0159,,wickets,3.0,,,,,Australia
t20s0160,,runs,3.0,,,,,Australia
t20s0161,,wickets,7.0,,,,,England
t20s0162,,runs,13.0,,,,,South Africa
t20s0163,,runs,1.0,,,,,South Africa
t20s0164,,runs,28.0,,,,,New Zealand
t20s0165,,wickets,7.0,,,,,Sri Lanka
t20s0166,,wickets,6.0,,,,,India
t20s0167,,wickets,7.0,,,,,India
t20s0168,,runs,23.0,,,,,Pakistan
t20s0169,,runs,11.0,,,,,Pakistan
t20s0170,,wickets,5.0,,,,,England
t20s0171,,wickets,6.0,,,,,England
t20s0172,,wickets,7.0,,,,,South Africa
t20s0173,,runs,8.0,,,,,South Africa
t20s0174,,wickets,6.0,,,,,South Africa
t20s0175,,wickets,6.0,,,,,South Africa
t20s0176,,wickets,7.0,,,,,Sri Lanka
t20s0177,,wickets,5.0,,,,,New Zealand
t20s0178,,runs,39.0,,,,,New Zealand
t20s0179,,wickets,4.0,,,,,Australia
t20s0180,,runs,103.0,,,,,Pakistan
t20s0181,,runs,21.0,,,,,India
t20s0182,,wickets,1.0,,,,,England
t20s0183,,runs,4.0,,,,,Australia
t20s0184,,runs,7.0,,,,,West Indies
t20s0185,,runs,16.0,,,,,India
t20s0186,,wickets,9.0,,,,,Sri Lanka
t20s0187,,runs,46.0,,,,,England
t20s0188,,runs,35.0,,,,,Sri Lanka
t20s0189,,runs,8.0,,,,,Sri Lanka
t20s0190,,wickets,6.0,,,,,England
t20s0191,,runs,85.0,,,,,Pakistan
t20s0192,,runs,5.0,,,,,Pakistan
t20s0193,,wickets,10.0,,,,,England
t20s0194,,runs,25.0,,,,,West Indies
t20s0195,,wickets,3.0,,,,,Bangladesh
t20s0196,,wickets,5.0,,,,,Australia
t20s0197,,wickets,10.0,,,,,New Zealand
t20s0198,,wickets,3.0,,,,,South Africa
t20s0199,,runs,34.0,,,D/L,,New Zealand
t20s0200,,,,,,,no result,
t20s0201,,wickets,6.0,,,,,England
t20s0202,,wickets,5.0,,,,,Pakistan
t20s0203,,runs,50.0,,,,,Pakistan
t20s0204,,runs,31.0,,,,,Australia
t20s0205,,wickets,8.0,,,,,India
t20s0206,,wickets,7.0,,,,,New Zealand
t20s0207,,wickets,5.0,,,,,New Zealand
t20s0208,,wickets,6.0,,,,,England
t20s0209,,wickets,6.0,,,,,New Zealand
t20s0210,,runs,48.0,,,,,England
t20s0211,,wickets,8.0,,,,,South Africa
t20s0212,,wickets,6.0,,,,,Ireland
t20s0213,,runs,10.0,,,D/L,,England
t20s0214,,runs,3.0,,,,,South Africa
t20s0215,,wickets,8.0,,,,,Ireland
t20s0216,,runs,8.0,,,,,Pakistan
t20s0217,,runs,2.0,,,,,Ireland
t20s0218,,runs,38.0,,,,,England
t20s0219,,runs,5.0,,,,,England
t20s0220,,runs,42.0,,,,,Netherlands
t20s0221,,wickets,4.0,,,,,Afghanistan
t20s0222,,wickets,10.0,,,,,Ireland
t20s0223,,runs,41.0,,,,,Afghanistan
t20s0224,,runs,17.0,,,,,Ireland
t20s0225,,wickets,10.0,,,,,Ireland
t20s0226,,wickets,4.0,,,,,Scotland
t20s0227,,wickets,7.0,,,,,Ireland
t20s0228,,wickets,5.0,,,,,Ireland
t20s0229,,wickets,8.0,,,,,Australia
t20s0230,,runs,11.0,,,D/L,,South Africa
t20s0231,,runs,14.0,,,,,West Indies
t20s0232,,runs,37.0,,,,,Sri Lanka
t20s0233,,runs,23.0,,,,,Pakistan
t20s0234,,wickets,7.0,,,,,England
t20s0235,,runs,33.0,,,,,England
t20s0236,,wickets,8.0,,,,,England
t20s0237,,runs,56.0,,,,,West Indies
t20s0238,,runs,61.0,,,,,West Indies
t20s0239,,runs,71.0,,,,,Bangladesh
t20s0240,,wickets,8.0,,,,,Bangladesh
t20s0241,,wickets,1.0,,,,,Netherlands
t20s0242,,runs,39.0,,,,,India
t20s0243,,wickets,7.0,,,,,England
t20s0244,,wickets,7.0,,,,,Pakistan
t20s0245,,runs,81.0,,,,,England
t20s0246,,,,,Pakistan,,tie,
t20s0247,,wickets,8.0,,,,,England
t20s0248,,wickets,7.0,,,,,South Africa
t20s0249,,runs,94.0,,,,,Australia
t20s0250,,runs,28.0,,,,,England
t20s0251,,,,,,,no result,
t20s0252,,runs,1.0,,,,,New Zealand
t20s0253,,runs,28.0,,,,,England
t20s0254,,runs,10.0,,,,,England
t20s0255,,runs,84.0,,,,,England
t20s0256,,wickets,3.0,,,,,West Indies
t20s0257,,runs,82.0,,,,,Sri Lanka
t20s0258,,runs,23.0,,,,,India
t20s0259,,wickets,7.0,,,,,Australia
t20s0260,,wickets,10.0,,,,,South Africa
t20s0261,,runs,116.0,,,,,England
t20s0262,,runs,59.0,,,,,New Zealand
t20s0263,,runs,17.0,,,D/L,,Australia
t20s0264,,runs,32.0,,,,,South Africa
t20s0265,,runs,90.0,,,,,India
t20s0266,,runs,13.0,,,,,Pakistan
t20s0267,,,,,,,no result,
t20s0268,,wickets,8.0,,,,,Pakistan
t20s0269,,wickets,7.0,,,,,West Indies
t20s0270,,wickets,6.0,,,,,South Africa
t20s0271,,wickets,8.0,,,,,Australia
t20s0272,,runs,43.0,,,,,England
t20s0273,,runs,15.0,,,,,West Indies
t20s0274,,,,,Sri Lanka,,tie,
t20s0275,,runs,5.0,,,D/L,,Sri Lanka
t20s0276,,runs,22.0,,,,,New Zealand
t20s0277,,wickets,9.0,,,,,Australia
t20s0278,,wickets,2.0,,,,,Pakistan
t20s0279,,wickets,9.0,,,,,England
t20s0280,,runs,25.0,,,D/L,,Australia
t20s0281,,wickets,9.0,,,,,Sri Lanka
t20s0282,,wickets,6.0,,,,,England
t20s0283,,wickets,8.0,,,,,New Zealand
t20s0284,,wickets,10.0,,,,,West Indies
t20s0285,,wickets,8.0,,,,,India
t20s0286,,wickets,8.0,,,,,Australia
t20s0287,,wickets,7.0,,,,,England
t20s0288,,runs,1.0,,,,,Pakistan
t20s0289,,runs,19.0,,,,,Sri Lanka
t20s0290,,,,,West Indies,,tie,
t20s0291,,runs,1.0,,,,,India
t20s0292,,runs,32.0,,,,,Pakistan
t20s0293,,wickets,9.0,,,,,India
t20s0294,,wickets,7.0,,,,,England
t20s0295,,runs,16.0,,,,,Sri Lanka
t20s0296,,runs,28.0,,,,,Australia
t20s0297,,runs,74.0,,,,,West Indies
t20s0298,,runs,4.0,,,,,Australia
t20s0299,,runs,36.0,,,,,West Indies
