key_id,player_of_match
t20s0001,SA Wittmann
t20s0001,
t20s0002,RT Ponting
t20s0002,
t20s0003,KP Pietersen
t20s0003,
t20s0004,JS Patel
t20s0004,
t20s0005,DR Martyn
t20s0005,
t20s0006,DR Smith
t20s0006,
t20s0007,GC Smith
t20s0007,
t20s0008,ST Jayasuriya
t20s0008,
t20s0009,Shahid Afridi
t20s0009,
t20s0010,KD Karthik
t20s0010,
t20s0011,ST Jayasuriya
t20s0011,
t20s0012,JEC Franklin
t20s0012,
t20s0013,CL White
t20s0013,
t20s0014,PD Collingwood
t20s0014,
t20s0015,OA Shah
t20s0015,
t20s0016,Nazimuddin
t20s0016,
t20s0017,Imran Nazir
t20s0017,
t20s0018,Younis Khan
t20s0018,
t20s0019,CH Gayle
t20s0019,
t20s0020,BRM Taylor
t20s0020,
t20s0021,Shahid Afridi
t20s0021,
t20s0022,MR Gillespie
t20s0022,
t20s0023,KP Pietersen
t20s0023,
t20s0024,Mohammad Ashraful
t20s0024,
t20s0025,Mohammad Asif
t20s0025,
t20s0026,NW Bracken
t20s0026,
t20s0027,ST Jayasuriya
t20s0027,
t20s0028,M Morkel
t20s0028,
t20s0029,ST Jayasuriya
t20s0029,
t20s0030,JA Morkel
t20s0030,
t20s0031,B Lee
t20s0031,
t20s0032,DL Vettori
t20s0032,
t20s0033,Younis Khan
t20s0033,
t20s0034,CRD Fernando
t20s0034,
t20s0035,Misbah-ul-Haq
t20s0035,
t20s0036,CD McMillan
t20s0036,
t20s0037,Yuvraj Singh
t20s0037,
t20s0038,JM Kemp
t20s0038,
t20s0039,RG Sharma
t20s0039,
t20s0040,Junaid Siddique
t20s0040,
t20s0041,SR Clark
t20s0041,
t20s0042,Yuvraj Singh
t20s0042,
t20s0043,Umar Gul
t20s0043,
t20s0044,IK Pathan
t20s0044,
t20s0045,G Gambhir
t20s0045,
t20s0046,AB de Villiers
t20s0046,
t20s0047,A Symonds
t20s0047,
t20s0048,JE Taylor
t20s0048,
t20s0049,SM Pollock
t20s0049,
t20s0050,MJ Clarke
t20s0050,
t20s0051,AD Mascarenhas
t20s0051,
t20s0052,PD Collingwood
t20s0052,
t20s0053,Misbah-ul-Haq
t20s0053,
t20s0054,IR Bell
t20s0054,
t20s0055,XM Marshall
t20s0055,
t20s0056,JD Nel
t20s0056,
t20s0057,RN ten Doeschate
t20s0057,
t20s0058,AC Botha
t20s0058,
t20s0059,Shoaib Malik
t20s0059,
t20s0060,ST Jayasuriya
t20s0060,
t20s0061,Abdur Razzak
t20s0061,
t20s0062,CH Gayle
t20s0062,
t20s0063,JD Ryder
t20s0063,
t20s0064,DA Warner
t20s0064,
t20s0065,MEK Hussey
t20s0065,
t20s0066,YK Pathan
t20s0066,
t20s0067,NW Bracken
t20s0067,
t20s0068,BB McCullum
t20s0068,
t20s0069,BB McCullum
t20s0069,
t20s0070,RR Sarwan
t20s0070,
t20s0071,DJ Hussey
t20s0071,
t20s0072,RE van der Merwe
t20s0072,
t20s0073,Shahid Afridi
t20s0073,Umar Gul
t20s0073,
t20s0074,TN de Grooth
t20s0074,
t20s0075,PP Ojha
t20s0075,
t20s0076,CH Gayle
t20s0076,
t20s0077,IG Butler
t20s0077,
t20s0078,LJ Wright
t20s0078,
t20s0079,AB de Villiers
t20s0079,
t20s0080,KC Sangakkara
t20s0080,
t20s0081,NJ O'Brien
t20s0081,
t20s0082,RE van der Merwe
t20s0082,
t20s0083,Kamran Akmal
t20s0083,
t20s0084,ST Jayasuriya
t20s0084,
t20s0085,Z Khan
t20s0085,
t20s0086,JH Kallis
t20s0086,
t20s0087,AJ Redmond
t20s0087,
t20s0088,DJ Bravo
t20s0088,
t20s0089,TM Dilshan
t20s0089,
t20s0090,Umar Gul
t20s0090,
t20s0091,WD Parnell
t20s0091,
t20s0092,RJ Sidebottom
t20s0092,
t20s0093,DPMD Jayawardene
t20s0093,
t20s0094,Kamran Akmal
t20s0094,
t20s0095,RR Sarwan
t20s0095,
t20s0096,AB de Villiers
t20s0096,
t20s0097,BAW Mendis
t20s0097,
t20s0098,Shahid Afridi
t20s0098,
t20s0099,AL Watkins
t20s0099,
t20s0100,TM Dilshan
t20s0100,
t20s0101,SC Taylor
t20s0101,
t20s0102,Shahid Afridi
t20s0102,
t20s0103,S Nitschke
t20s0103,
t20s0104,DJG Sammy
t20s0104,
t20s0105,Shahid Afridi
t20s0105,
t20s0107,DL Vettori
t20s0107,
t20s0108,JD Ryder
t20s0108,
t20s0109,DJS Dottin
t20s0109,
t20s0110,Imran Nazir
t20s0110,
t20s0111,Umar Akmal
t20s0111,
t20s0112,EJG Morgan
t20s0112,
t20s0113,LE Bosman
t20s0113,
t20s0114,KC Sangakkara
t20s0114,
t20s0115,Yuvraj Singh
t20s0115,
t20s0116,DL Vettori
t20s0116,
t20s0117,SW Tait
t20s0117,
t20s0118,B Zuiderent
t20s0118,
t20s0119,Mohammad Nabi
